fid,mode,region,agency,name,year_open,cost_usd,riders,status,notes,web,grade,construct,automated,year_clos,ffga_date,ffga_cost,ffga_shr,reference,limited,country,brt_rating,project,route_km,brt_year,Is it in the RTDB?,Does it look like rapid transport?,Does it have frequencies better than 20min,ADD?
53528,Regional Rail,Adelaide AUS,Adelaide Metro,Gawler,1857,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Adelaide–Gawler,14.96547122,,NO,MAYBE,NO,
53529,Regional Rail,Adelaide AUS,Adelaide Metro,Gawler,1911,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Gawler–Gawler Central,2.307187912,,NO,MAYBE,NO,
53530,Regional Rail,Adelaide AUS,Adelaide Metro,Gawler,1857,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Adelaide–Gawler,25.01487163,,NO,MAYBE,NO,
53531,Regional Rail,Adelaide AUS,Adelaide Metro,Grange,1882,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Grange–Woodville,5.424153178,,NO,MAYBE,NO,
53532,Regional Rail,Adelaide AUS,Adelaide Metro,Outer Harbor,1908,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Port Adelaide–Outer Harbor,11.07875102,,NO,MAYBE,NO,
53535,Regional Rail,Adelaide AUS,Adelaide Metro,Outer Harbor,1856,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Woodville–Port Adelaide,3.436615808,,NO,MAYBE,NO,
53536,Regional Rail,Adelaide AUS,Adelaide Metro,Belair,1883,,,existing,,,subway; at grade,,,,,,,South Australia Government,0,AUS,,Adelaide–Belair,21.78016469,,NO,MAYBE,NO,
53537,Regional Rail,Adelaide AUS,Adelaide Metro,Flinders,1966,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Woodlands Park–Mitchell Park,1.59054689,,NO,MAYBE,NO,
53538,Regional Rail,Adelaide AUS,Adelaide Metro,Flinders,2020,,,existing,,,elevated; at grade,,,,,,,South Australia Government,0,AUS,,Mitchell Park–Flinders,2.192306029,,NO,MAYBE,NO,
53539,Regional Rail,Adelaide AUS,Adelaide Metro,Flinders/Seaford,1913,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Adelaide–Woodlands Park,9.990889807,,NO,MAYBE,NO,
53540,Regional Rail,Adelaide AUS,Adelaide Metro,Seaford,1913,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Woodlands Park–Marino,8.455788799,,NO,MAYBE,NO,
53541,Regional Rail,Adelaide AUS,Adelaide Metro,Seaford,1915,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Marino–Hallett Cove,3.10861156,,NO,MAYBE,NO,
53542,Regional Rail,Adelaide AUS,Adelaide Metro,Seaford,1976,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Hallett Cove–Christie Downs,7.635937956,,NO,MAYBE,NO,
53543,Regional Rail,Adelaide AUS,Adelaide Metro,Seaford,1978,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Christie Downs–Noarlunga Centre,1.269164927,,NO,MAYBE,NO,
53544,Regional Rail,Adelaide AUS,Adelaide Metro,Seaford,2014,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Noarlunga Centre–Seaford,5.510666997,,NO,MAYBE,NO,
53545,Regional Rail,Adelaide AUS,Adelaide Metro,Grange/Outer Harbor,1856,,,existing,,,at grade,,,,,,,South Australia Government,0,AUS,,Adelaide–Woodville,7.594180999,,NO,MAYBE,NO,
53471,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Airtrain,2001,,,existing,,,elevated; at grade,,,,,,,Queensland Government,0,AUS,,Airtrain Eagle Junction–Domestic Airport,9.446315143,,NO,NO,NO,
53472,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Gold Coast,2009,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Robina–Varsity Lakes,3.86717455,,NO,,NO,
53473,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Gold Coast,1997,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Helensvale–Nerang,5.560739451,,NO,,NO,
53474,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Gold Coast,1998,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Nerang–Robina,9.560877309,,NO,,NO,
53475,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Gold Coast,1996,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Helensvale–Beenleigh,30.17469388,,NO,,NO,
53476,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Redcliffe Peninsula,2016,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Petrie–Kippa-Ring,12.58051414,,NO,,NO DATA,
53477,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Springfield,2013,,,existing,,,elevated; at grade,,,,,,,Queensland Government,0,AUS,,Richlands–Springfield,10.21312344,,NO,,NO DATA,
53480,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Cross River Rail,,,,uc,,https://crossriverrail.qld.gov.au/about/rail-route/,subway,2017-2026,,,,,,Queensland Government,0,AUS,,Cross River Rail,6.483927345,,NO,,,
53481,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Beenleigh/Gold Coast,1885,,,existing,,,elevated; at grade,,,,,,,Queensland Government,0,AUS,,Park Road–Beenleigh,36.35178104,,NO,,NO,
53482,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Cleveland,1889,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Manly–Cleveland,13.17865,,NO,,NO DATA,
53483,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Cleveland,1888,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Park Road–Manly,19.4366853,,NO,,NO DATA,
53484,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Beenleigh/Cleveland/Gold Coast,1978,,,existing,,,subway; elevated; at grade,1975-1978,,,,,,Queensland Government,0,AUS,,Merivale Bridge,1.887134332,,NO,,NO,
53485,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Beenleigh/Cleveland/Gold Coast,1884,,,existing,,,elevated; at grade,,,,,,,Queensland Government,0,AUS,,South Brisbane–Park Road,2.30849172,,NO,,NO,
53486,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Rosewood,1865,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Ipswitch–Rosewood,18.80759431,,NO,,NO DATA,
53487,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Ipswitch,1876,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Ipswitch–Darra,23.65850405,,NO,,NO DATA,
53488,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Springfield,2011,,,existing,,,elevated; at grade,,,,,,,Queensland Government,0,AUS,,Darra–Richlands,5.339809192,,NO,,NO DATA,
53489,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Ipswitch/Rosewood,1876,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Darra–Rome Street,14.15344866,,NO,,NO DATA,
53490,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Tennyson,1884,,,existing,Rarely used for passenger services,,at grade,,,,,,,Queensland Government,0,AUS,,Yeerongpilly–Corinda,4.586203107,,NO,,NO DATA,
53491,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Doomben,1897,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Ascot–Doomben,1.600939013,,NO,,NO DATA,
53492,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Doomben,1882,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Eagle Junction–Ascot,2.668852282,,NO,,NO DATA,
53493,Regional Rail,Brisbane AUS,QueenslandRail/Translink,Ferny Grove,1899,,,existing,,,at grade,,,,,,,Queensland Government,0,AUS,,Bowen Hills–Enoggera,6.201533167,,NO,,YES,YES
